MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0,0,1,1,0,0,1,0,0.66539924,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,13.43,0.65,0.38,3.32
0,0,1,0.96,0.04,0,1,0,0.676806084,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,14.64,0.73,0.18,5.18
0,0,1,0.96,0.04,0,1,0,0.676806084,0,0.333333333,0,1,0.044642857,0,0,0,0,0.5,0.5,0.25,0.333333333,0,0,0,0.314285714,0.111111111,14.65,0.73,0.5,5.31
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,0.6121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,19.82,0.7,0.6975,9.69
0.16,0.79,0.05,1,0,0,0.826666667,0.173333333,0.6121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,19.8,0.7,0.5203,7.21
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,0.585551331,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,22.1,0.67,0.7031,10.41
0.16,0.79,0.05,0.916,0.16,0,0.826666667,0.173333333,0.585551331,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,21.72,0.66,0.6202,8.87
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,0.558935361,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,24.79,0.71,0.7218,12.65
0.16,0.79,0.05,0.832,0.168,0,0.826666667,0.173333333,0.558935361,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,24.38,0.7,0.6624,11.27
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,0.536121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,25.2,0.76,0.7415,14.11
0.16,0.79,0.05,0.748,0.252,0,0.826666667,0.173333333,0.536121673,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,24.92,0.75,0.7009,12.98
0.16,0.79,0.05,0.664,0.336,0,0.826666667,0.173333333,0.524714829,1,1,0.666666667,0.666666667,0.028571429,0,0,0,0,0.5,0.75,0.625,0.444444444,0,0,0,0.285714286,0.333333333,26.59,0.8,0.7601,16.1
